age,employed_now,employed_wife,employed_out_wife,college_deg,children,condition,married,c_list,t_list,c_outside_self,c_outside_guess,c_outside_confidence,t_outside_guess,t_outside_confidence,t_outside_mean,c_outside_mean,c_outside_guess_frac,t_outside_guess_frac,c_outside_wedge,t_outside_wedge
21,2,1,2,FALSE,2,0,TRUE,2,NA,1,47,5,NA,NA,80.45547348826037,82.41758241758241,0.47,NA,-35.41758241758241,NA
21,1,0,0,TRUE,3,1,TRUE,NA,3,NA,NA,NA,32.099998474121094,5,80.45547348826037,82.41758241758241,NA,0.32099998474121094,NA,-48.35547501413927
30,1,0,0,FALSE,3,1,TRUE,NA,2,NA,NA,NA,0,4,80.45547348826037,82.41758241758241,NA,0,NA,-80.45547348826037
30,1,0,0,TRUE,3,0,TRUE,2,NA,1,75.80000305175781,5,NA,NA,80.45547348826037,82.41758241758241,0.7580000305175781,NA,-6.6175793658245965,NA
30,2,0,0,TRUE,3,0,TRUE,0,NA,1,40.20000076293945,3,NA,NA,80.45547348826037,82.41758241758241,0.40200000762939453,NA,-42.217581654642956,NA
28,1,0,0,TRUE,1,1,TRUE,NA,2,NA,NA,NA,0,2,80.45547348826037,82.41758241758241,NA,0,NA,-80.45547348826037
34,1,0,0,FALSE,3,1,TRUE,NA,3,NA,NA,NA,45.29999923706055,3,80.45547348826037,82.41758241758241,NA,0.45299999237060545,NA,-35.15547425119982
33,1,1,2,TRUE,3,0,TRUE,3,NA,1,70,3,NA,NA,80.45547348826037,82.41758241758241,0.7,NA,-12.417582417582409,NA
35,1,0,0,FALSE,3,1,TRUE,NA,3,NA,NA,NA,100,5,80.45547348826037,82.41758241758241,NA,1,NA,19.544526511739633
29,1,1,2,TRUE,3,0,TRUE,2,NA,0,38.900001525878906,4,NA,NA,80.45547348826037,82.41758241758241,0.3890000152587891,NA,-43.5175808917035,NA
35,1,0,0,TRUE,2,1,TRUE,NA,4,NA,NA,NA,76.30000305175781,5,80.45547348826037,82.41758241758241,NA,0.7630000305175781,NA,-4.155470436502554
29,1,1,2,FALSE,3,0,TRUE,1,NA,0,51.5,4,NA,NA,80.45547348826037,82.41758241758241,0.515,NA,-30.91758241758241,NA
31,1,0,0,TRUE,2,0,TRUE,2,NA,1,55.5,2,NA,NA,80.45547348826037,82.41758241758241,0.555,NA,-26.91758241758241,NA
٣٥,1,0,0,TRUE,2,1,TRUE,NA,2,NA,NA,NA,62.70000076293945,3,80.45547348826037,82.41758241758241,NA,0.6270000076293946,NA,-17.755472725320914
28,1,0,0,TRUE,2,0,TRUE,3,NA,1,60.099998474121094,4,NA,NA,80.45547348826037,82.41758241758241,0.600999984741211,NA,-22.317583943461315,NA
33,1,0,0,TRUE,4,1,TRUE,NA,3,NA,NA,NA,50.400001525878906,3,80.45547348826037,82.41758241758241,NA,0.504000015258789,NA,-30.05547196238146
35,1,1,2,FALSE,4,0,TRUE,3,NA,1,50.29999923706055,3,NA,NA,80.45547348826037,82.41758241758241,0.5029999923706054,NA,-32.11758318052186,NA
28,1,1,1,TRUE,3,1,TRUE,NA,3,NA,NA,NA,68.5999984741211,4,80.45547348826037,82.41758241758241,NA,0.6859999847412109,NA,-11.855475014139273
19,2,0,0,FALSE,1,1,TRUE,NA,4,NA,NA,NA,37.29999923706055,5,80.45547348826037,82.41758241758241,NA,0.3729999923706055,NA,-43.15547425119982
20,1,1,2,FALSE,1,0,TRUE,2,NA,1,54.69999694824219,5,NA,NA,80.45547348826037,82.41758241758241,0.5469999694824219,NA,-27.71758546934022,NA
32,1,0,0,TRUE,3,1,TRUE,NA,3,NA,NA,NA,32.099998474121094,4,80.45547348826037,82.41758241758241,NA,0.32099998474121094,NA,-48.35547501413927
20,2,1,2,FALSE,1,1,TRUE,NA,2,NA,NA,NA,69.69999694824219,5,80.45547348826037,82.41758241758241,NA,0.6969999694824218,NA,-10.75547654001818
19,1,1,2,FALSE,1,0,TRUE,1,NA,1,36.29999923706055,5,NA,NA,80.45547348826037,82.41758241758241,0.3629999923706055,NA,-46.11758318052186,NA
20,2,1,2,FALSE,1,0,TRUE,1,NA,1,48.099998474121094,5,NA,NA,80.45547348826037,82.41758241758241,0.4809999847412109,NA,-34.317583943461315,NA
20,1,0,0,FALSE,1,0,TRUE,3,NA,0,34.70000076293945,5,NA,NA,80.45547348826037,82.41758241758241,0.34700000762939454,NA,-47.717581654642956,NA
19,1,0,0,FALSE,2,1,TRUE,NA,1,NA,NA,NA,52.70000076293945,5,80.45547348826037,82.41758241758241,NA,0.5270000076293946,NA,-27.755472725320914
19,2,0,0,FALSE,1,1,TRUE,NA,1,NA,NA,NA,77.19999694824219,4,80.45547348826037,82.41758241758241,NA,0.7719999694824219,NA,-3.2554765400181793
34,1,0,0,TRUE,2,0,TRUE,2,NA,1,32.099998474121094,3,NA,NA,80.45547348826037,82.41758241758241,0.32099998474121094,NA,-50.317583943461315,NA
33,1,0,0,TRUE,4,1,TRUE,NA,3,NA,NA,NA,0,2,80.45547348826037,82.41758241758241,NA,0,NA,-80.45547348826037
19,2,1,2,FALSE,1,0,TRUE,2,NA,1,37.29999923706055,5,NA,NA,80.45547348826037,82.41758241758241,0.3729999923706055,NA,-45.11758318052186,NA
19,1,0,0,FALSE,1,1,TRUE,NA,1,NA,NA,NA,38.099998474121094,5,80.45547348826037,82.41758241758241,NA,0.38099998474121094,NA,-42.35547501413927
٣٥,1,0,0,FALSE,4,0,TRUE,2,NA,1,100,5,NA,NA,80.45547348826037,82.41758241758241,1,NA,17.58241758241759,NA
31,1,0,0,TRUE,4,1,TRUE,NA,4,NA,NA,NA,50,4,80.45547348826037,82.41758241758241,NA,0.5,NA,-30.455473488260367
19,1,0,0,FALSE,1,0,TRUE,2,NA,1,31,5,NA,NA,80.45547348826037,82.41758241758241,0.31,NA,-51.41758241758241,NA
30,1,1,2,TRUE,2,1,TRUE,NA,4,NA,NA,NA,100,4,80.45547348826037,82.41758241758241,NA,1,NA,19.544526511739633
19,1,0,0,FALSE,1,0,TRUE,2,NA,1,44.5,5,NA,NA,80.45547348826037,82.41758241758241,0.445,NA,-37.91758241758241,NA
19,1,0,0,FALSE,1,1,TRUE,NA,4,NA,NA,NA,41.20000076293945,5,80.45547348826037,82.41758241758241,NA,0.41200000762939454,NA,-39.255472725320914
٢٨,1,0,0,TRUE,2,1,TRUE,NA,2,NA,NA,NA,5.199999809265137,3,80.45547348826037,82.41758241758241,NA,0.051999998092651364,NA,-75.25547367899523
19,1,0,0,FALSE,1,0,TRUE,2,NA,1,80.30000305175781,5,NA,NA,80.45547348826037,82.41758241758241,0.8030000305175782,NA,-2.1175793658245965,NA
22,1,0,0,FALSE,1,0,TRUE,1,NA,1,61.900001525878906,5,NA,NA,80.45547348826037,82.41758241758241,0.6190000152587891,NA,-20.517580891703503,NA
19,2,0,0,FALSE,1,1,TRUE,NA,1,NA,NA,NA,32.20000076293945,5,80.45547348826037,82.41758241758241,NA,0.3220000076293945,NA,-48.255472725320914
19,1,1,2,FALSE,1,1,TRUE,NA,1,NA,NA,NA,48.599998474121094,5,80.45547348826037,82.41758241758241,NA,0.4859999847412109,NA,-31.855475014139273
20,1,1,2,FALSE,1,0,TRUE,1,NA,1,76.5999984741211,5,NA,NA,80.45547348826037,82.41758241758241,0.7659999847412109,NA,-5.817583943461315,NA
19,1,1,2,FALSE,1,0,TRUE,1,NA,1,59.5,5,NA,NA,80.45547348826037,82.41758241758241,0.595,NA,-22.91758241758241,NA
19,1,0,0,FALSE,1,1,TRUE,NA,3,NA,NA,NA,31.200000762939453,5,80.45547348826037,82.41758241758241,NA,0.3120000076293945,NA,-49.255472725320914
33,1,0,0,FALSE,5,0,TRUE,1,NA,0,39,3,NA,NA,80.45547348826037,82.41758241758241,0.39,NA,-43.41758241758241,NA
٣٦,1,0,0,FALSE,6,1,TRUE,NA,2,NA,NA,NA,0,3,80.45547348826037,82.41758241758241,NA,0,NA,-80.45547348826037
35,2,1,2,FALSE,5,1,TRUE,NA,1,NA,NA,NA,52.20000076293945,5,80.45547348826037,82.41758241758241,NA,0.5220000076293946,NA,-28.255472725320914
19,1,0,0,FALSE,1,0,TRUE,2,NA,1,49,5,NA,NA,80.45547348826037,82.41758241758241,0.49,NA,-33.41758241758241,NA
19,1,0,0,FALSE,1,0,TRUE,2,NA,1,38.5,5,NA,NA,80.45547348826037,82.41758241758241,0.385,NA,-43.91758241758241,NA
24,1,0,0,TRUE,4,1,TRUE,NA,3,NA,NA,NA,50,4,80.45547348826037,82.41758241758241,NA,0.5,NA,-30.455473488260367
0,1,1,2,FALSE,1,0,TRUE,2,NA,1,38.29999923706055,5,NA,NA,80.45547348826037,82.41758241758241,0.38299999237060545,NA,-44.11758318052186,NA
0,1,0,0,FALSE,4,1,TRUE,NA,3,NA,NA,NA,92.69999694824219,5,80.45547348826037,82.41758241758241,NA,0.9269999694824219,NA,12.24452345998182
19,1,0,0,FALSE,1,0,TRUE,2,NA,1,32.70000076293945,4,NA,NA,80.45547348826037,82.41758241758241,0.3270000076293945,NA,-49.717581654642956,NA
20,1,0,0,FALSE,2,0,TRUE,2,NA,1,47.20000076293945,4,NA,NA,80.45547348826037,82.41758241758241,0.47200000762939454,NA,-35.217581654642956,NA
19,1,0,0,FALSE,1,1,TRUE,NA,1,NA,NA,NA,57.900001525878906,5,80.45547348826037,82.41758241758241,NA,0.5790000152587891,NA,-22.55547196238146
23,1,0,0,TRUE,2,1,TRUE,NA,3,NA,NA,NA,37.29999923706055,5,80.45547348826037,82.41758241758241,NA,0.3729999923706055,NA,-43.15547425119982
23,1,0,0,FALSE,1,1,TRUE,NA,4,NA,NA,NA,35.79999923706055,5,80.45547348826037,82.41758241758241,NA,0.3579999923706055,NA,-44.65547425119982
23,1,0,0,TRUE,1,0,TRUE,2,NA,0,57.5,5,NA,NA,80.45547348826037,82.41758241758241,0.575,NA,-24.91758241758241,NA
23,1,0,0,TRUE,2,1,TRUE,NA,3,NA,NA,NA,47.400001525878906,5,80.45547348826037,82.41758241758241,NA,0.47400001525878904,NA,-33.05547196238146
31,1,0,0,TRUE,3,0,TRUE,2,NA,1,61.099998474121094,5,NA,NA,80.45547348826037,82.41758241758241,0.610999984741211,NA,-21.317583943461315,NA
23,1,0,0,TRUE,1,0,TRUE,1,NA,1,48,5,NA,NA,80.45547348826037,82.41758241758241,0.48,NA,-34.41758241758241,NA
23,1,0,0,TRUE,2,1,TRUE,NA,1,NA,NA,NA,52.900001525878906,5,80.45547348826037,82.41758241758241,NA,0.529000015258789,NA,-27.55547196238146
