haafez_self,vjobs_self,applied_out_fl,driving_fl,interviewed_out_fl,employed_now_out_fl,outside_objective,outside_guess,outside_others_fl,min_wage_fl_per,children,outside_others_fl2,interview_sched_out_fl,matched,session,outside_self,semiseg_self,mwage_self,outside_others,semiseg_others,mwage_others,employed_wife,employed_now,education,age,secondary,num_knows_per,num_mfs_per,signed_up_number,outside_wedge,condition2,outside_confidence,employed_3mos_out_fl
1,1,0,0,0,0,29.11764705882353,16,15,0.43333333333333335,1,0.5,0,1,2,1,1,0,15,29,0,1,1,6,25,1,0.9666666666666667,0.16666666666666666,1,-13.117647058823529,1,3,0
1,1,1,1,1,1,27.93103448275862,27,26,0.4,0,0.8666666666666667,0,1,2,1,0,1,26,13,23,0,0,6,25,1,0.9666666666666667,0.16666666666666666,1,-0.9310344827586192,1,5,0
1,1,0,0,0,0,27.93103448275862,29,4,0.3333333333333333,1,0.13333333333333333,0,1,2,1,1,1,28,28,24,1,1,5,23,1,0.9666666666666667,0.9666666666666667,1,1.0689655172413808,0,4,0
1,1,0,1,0,0,27.93103448275862,29,15,0.26666666666666666,0,0.5,0,1,2,1,1,0,28,23,26,1,0,3,18,1,0.9666666666666667,0.16666666666666666,0,1.0689655172413808,1,5,0
1,1,0,1,0,0,27.93103448275862,30,10,0.5,2,0.3333333333333333,0,1,2,1,1,1,29,29,29,1,1,5,28,1,0.5,0.5,1,2.068965517241381,0,5,0
1,1,0,0,0,0,27.93103448275862,29,30,0.8333333333333334,0,1,0,1,2,1,0,0,28,28,28,0,1,3,18,1,0.8333333333333334,0.16666666666666666,0,1.0689655172413808,1,5,0
0,0,0,1,0,0,27.93103448275862,16,25,0.1,0,0.8333333333333334,0,1,2,1,1,1,15,19,5,1,0,3,21,1,0.16666666666666666,0.16666666666666666,1,-11.93103448275862,1,3,0
1,1,1,1,0,0,27.93103448275862,19,26,0.6666666666666666,2,0.8666666666666667,0,1,2,1,1,1,18,18,18,1,1,3,22,1,0.8333333333333334,0.5,0,-8.93103448275862,1,3,0
1,0,0,1,0,0,27.93103448275862,15,30,0.36666666666666664,1,1,0,1,3,1,1,1,14,9,18,0,1,3,22,1,0.9666666666666667,0.9666666666666667,0,-12.93103448275862,0,3,0
1,1,0,1,0,0,27.93103448275862,23,10,0.5,1,0.3333333333333333,0,1,3,1,1,1,22,20,16,1,1,3,20,1,0.9666666666666667,0.16666666666666666,0,-4.931034482758619,1,5,0
1,1,0,1,0,0,27.93103448275862,19,19,0.26666666666666666,1,0.6333333333333333,0,1,3,1,1,1,18,16,16,1,1,3,19,1,0.9666666666666667,0,0,-8.93103448275862,1,3,0
1,1,0,1,0,0,27.93103448275862,20,7,0.3333333333333333,1,0.23333333333333334,0,1,3,1,1,1,19,11,4,1,1,3,19,1,0,0.16666666666666666,0,-7.931034482758619,0,3,0
1,1,1,1,0,0,27.93103448275862,12,25,0.5,1,0.8333333333333334,0,1,3,1,1,0,11,8,14,1,1,5,25,1,0.9666666666666667,0.9666666666666667,1,-15.93103448275862,1,2,0
1,1,0,0,0,0,27.93103448275862,21,15,0,2,0.5,0,1,3,1,1,1,20,16,19,1,1,3,20,1,0.9666666666666667,0.9666666666666667,0,-6.931034482758619,0,4,0
1,0,1,1,0,0,27.93103448275862,30,15,0.3333333333333333,0,0.5,0,1,3,1,1,1,29,29,2,0,1,3,24,1,0.9666666666666667,0.9666666666666667,0,2.068965517241381,1,1,0
1,1,0,1,0,0,27.93103448275862,30,20,0.6333333333333333,1,0.6666666666666666,0,1,3,1,1,1,29,22,17,1,1,3,22,1,0.9666666666666667,0.9666666666666667,0,2.068965517241381,0,3,0
1,0,0,1,0,0,27.93103448275862,14,10,0.5,1,0.3333333333333333,0,1,3,1,1,0,13,16,16,1,1,3,21,1,0.9666666666666667,0.3333333333333333,1,-13.93103448275862,0,4,0
1,1,1,1,0,0,27.93103448275862,27,15,1,1,0.5,0,1,3,1,0,1,26,17,29,0,1,5,20,1,0.9666666666666667,0.9666666666666667,1,-0.9310344827586192,1,3,0
1,1,0,1,0,0,27.93103448275862,26,0,0,1,0,0,1,3,1,1,1,25,24,23,1,1,3,24,1,0.9666666666666667,0,1,-1.9310344827586192,1,5,0
1,1,1,1,1,0,27.93103448275862,29,20,0.16666666666666666,1,0.6666666666666666,0,1,3,0,1,1,29,28,29,0,1,3,19,1,0.9666666666666667,0.9666666666666667,1,1.0689655172413808,1,5,0
1,1,0,1,0,0,27.93103448275862,24,0,0.13333333333333333,3,0,0,1,3,1,1,1,23,22,19,1,1,5,28,1,0.16666666666666666,0.16666666666666666,1,-3.931034482758619,1,2,0
1,1,0,0,0,0,27.93103448275862,10,4,0.2,3,0.13333333333333333,0,1,3,1,1,1,9,3,3,1,1,8,19,1,0.9666666666666667,0.9666666666666667,0,-17.93103448275862,0,2,0
1,0,0,1,0,0,27.93103448275862,10,20,1,2,0.6666666666666666,0,1,3,1,1,1,9,17,16,1,1,7,26,1,0.9666666666666667,0.6666666666666666,1,-17.93103448275862,1,2,1
0,1,0,0,0,0,27.93103448275862,17,10,0.6666666666666666,1,0.3333333333333333,0,1,3,1,1,1,16,18,19,0,1,6,25,1,0.9666666666666667,0.9666666666666667,0,-10.93103448275862,1,3,0
1,1,0,1,0,0,27.93103448275862,23,28,0.3333333333333333,1,0.9333333333333333,0,1,3,1,1,1,22,17,22,1,1,3,21,1,0.9666666666666667,0.6666666666666666,0,-4.931034482758619,1,3,0
1,1,0,1,0,0,27.93103448275862,30,19,0.16666666666666666,2,0.6333333333333333,0,1,3,1,1,1,29,29,29,1,1,5,22,1,0.9666666666666667,0.3333333333333333,0,2.068965517241381,1,5,0
0,1,0,1,0,0,27.93103448275862,30,25,1,1,0.8333333333333334,0,1,3,1,0,1,29,2,10,1,1,3,23,1,0.9666666666666667,0.8333333333333334,0,2.068965517241381,1,3,0
1,1,0,1,0,0,27.93103448275862,14,15,0.03333333333333333,1,0.5,0,1,3,1,1,1,13,0,29,1,1,5,25,1,0,0.16666666666666666,0,-13.93103448275862,0,2,1
0,0,0,1,0,0,27.93103448275862,28,12,0.3333333333333333,0,0.4,0,1,3,1,1,0,27,17,24,0,1,4,20,1,0.9666666666666667,0.3333333333333333,0,0.06896551724138078,0,5,0
1,1,0,1,0,0,27.93103448275862,14,10,0.5,1,0.3333333333333333,0,1,3,1,1,1,13,13,20,1,1,5,20,1,0.9666666666666667,0,0,-13.93103448275862,0,3,0
1,0,0,0,0,0,29,17,NA,NA,3,NA,0,0,3,1,1,1,16,16,16,1,0,3,22,1,0.9666666666666667,0,0,-12,0,3,0
